"","zip_code","count_april2023","count_april2024","difference","pct_change","primary_city","county","estimated_population"
"148",20895,21,27,6,28.5714285714286,"Kensington","Montgomery County",16190
"149",20896,0,1,1,Inf,"Garrett Park","Montgomery County",905
"150",20898,1,0,-1,-100,"Gaithersburg","Montgomery County",0
"151",20901,59,52,-7,-11.864406779661,"Silver Spring","Montgomery County",29903
"152",20902,74,89,15,20.2702702702703,"Silver Spring","Montgomery County",39168
"153",20903,38,28,-10,-26.3157894736842,"Silver Spring","Montgomery County",17654
"154",20904,136,120,-16,-11.7647058823529,"Silver Spring","Montgomery County",44859
"155",20905,33,26,-7,-21.2121212121212,"Silver Spring","Montgomery County",16516
"156",20906,97,132,35,36.0824742268041,"Silver Spring","Montgomery County",53137
"157",20907,0,1,1,Inf,"Silver Spring","Montgomery County",0
"158",20910,84,90,6,7.14285714285714,"Silver Spring","Montgomery County",30661
"159",20912,32,44,12,37.5,"Takoma Park","Montgomery County",19175
"160",20916,0,1,1,Inf,"Silver Spring","Montgomery County",0
"161",21001,95,124,29,30.5263157894737,"Aberdeen","Harford County",18383
"162",21005,1,2,1,100,"Aberdeen Proving Ground","Harford County",1142
"163",21009,89,113,24,26.9662921348315,"Abingdon","Harford County",25308
"164",21012,34,29,-5,-14.7058823529412,"Arnold","Anne Arundel County",18695
"165",21013,10,15,5,50,"Baldwin","Baltimore County",4382
"166",21014,93,102,9,9.67741935483871,"Bel Air","Harford County",31074
"167",21015,87,86,-1,-1.14942528735632,"Bel Air","Harford County",24922
"168",21017,29,30,1,3.44827586206897,"Belcamp","Harford County",5504
"169",21022,0,1,1,Inf,"Brooklandville","Baltimore County",0
"170",21028,7,11,4,57.1428571428571,"Churchville","Harford County",2971
"171",21029,12,17,5,41.6666666666667,"Clarksville","Howard County",10412
"172",21030,63,74,11,17.4603174603175,"Cockeysville","Baltimore County",20714
"173",21032,11,17,6,54.5454545454545,"Crownsville","Anne Arundel County",7811
"174",21034,17,13,-4,-23.5294117647059,"Darlington","Harford County",3086
"175",21035,14,17,3,21.4285714285714,"Davidsonville","Anne Arundel County",7106
"176",21036,4,3,-1,-25,"Dayton","Howard County",1875
"177",21037,45,39,-6,-13.3333333333333,"Edgewater","Anne Arundel County",17576
"178",21040,116,141,25,21.551724137931,"Edgewood","Harford County",19332
"179",21042,47,77,30,63.8297872340426,"Ellicott City","Howard County",34548
"180",21043,59,117,58,98.3050847457627,"Ellicott City","Howard County",34351
"181",21044,91,142,51,56.043956043956,"Columbia","Howard County",34780
"182",21045,113,114,1,0.884955752212389,"Columbia","Howard County",32742
"183",21046,39,45,6,15.3846153846154,"Columbia","Howard County",13087
"184",21047,24,31,7,29.1666666666667,"Fallston","Harford County",10915
"185",21048,15,14,-1,-6.66666666666667,"Finksburg","Carroll County",9672
"186",21050,41,41,0,0,"Forest Hill","Harford County",16636
"187",21051,2,0,-2,-100,"Fork","Baltimore County",0
