"","GEOID","Place","State","year","total","yes_internet","no_internet","pct_no"
"63","2410575","Brookview town"," Maryland","2020",22,13,9,40.9090909090909
"64","2410650","Broomes Island CDP"," Maryland","2020",219,206,13,5.93607305936073
"65","2410737","Brown Station CDP"," Maryland","2020",1228,1206,22,1.79153094462541
"66","2410800","Brownsville CDP"," Maryland","2020",8,8,0,0
"67","2410900","Brunswick city"," Maryland","2020",2411,2198,168,6.96806304437993
"68","2410925","Bryans Road CDP"," Maryland","2020",2986,2454,518,17.3476222371065
"69","2410950","Bryantown CDP"," Maryland","2020",178,161,17,9.55056179775281
"70","2411050","Buckeystown CDP"," Maryland","2020",539,427,99,18.3673469387755
"71","2411400","Burkittsville town"," Maryland","2020",82,70,10,12.1951219512195
"72","2411550","Burnt Mills CDP"," Maryland","2020",1131,1075,43,3.80194518125553
"73","2411750","Burtonsville CDP"," Maryland","2020",2801,2745,56,1.99928596929668
"74","2411900","Butlertown CDP"," Maryland","2020",166,93,73,43.9759036144578
"75","2412075","Cabin John CDP"," Maryland","2020",880,846,34,3.86363636363636
"76","2412150","California CDP"," Maryland","2020",5490,5034,271,4.93624772313297
"77","2412175","Callaway CDP"," Maryland","2020",566,411,81,14.3109540636042
"78","2412300","Calvert Beach CDP"," Maryland","2020",275,267,8,2.90909090909091
"79","2412350","Calverton CDP"," Maryland","2020",6051,5305,311,5.13964633944803
"80","2412400","Cambridge city"," Maryland","2020",5364,4196,997,18.5868754660701
"81","2412600","Camp Springs CDP"," Maryland","2020",7449,6782,590,7.92052624513357
"82","2412912","Cape St. Claire CDP"," Maryland","2020",3252,3135,109,3.35178351783518
"83","2413000","Capitol Heights town"," Maryland","2020",1448,1209,182,12.5690607734807
"84","2413225","Carlos CDP"," Maryland","2020",22,22,0,0
"85","2413325","Carney CDP"," Maryland","2020",13163,10585,1188,9.02529818430449
"86","2414125","Catonsville CDP"," Maryland","2020",15566,13200,1214,7.79904920981627
"87","2414225","Cavetown CDP"," Maryland","2020",446,344,102,22.8699551569507
"88","2414300","Cearfoss CDP"," Maryland","2020",88,85,3,3.40909090909091
"89","2414325","Cecilton town"," Maryland","2020",382,305,60,15.7068062827225
"90","2414550","Cedar Heights CDP"," Maryland","2020",611,529,82,13.4206219312602
"91","2414800","Cedarville CDP"," Maryland","2020",232,163,65,28.0172413793103
"92","2414950","Centreville town"," Maryland","2020",1693,1557,96,5.67040756054341
"93","2415075","Chance CDP"," Maryland","2020",162,104,52,32.0987654320988
"94","2415400","Charlestown town"," Maryland","2020",611,538,59,9.65630114566285
"95","2415475","Charlotte Hall CDP"," Maryland","2020",400,233,132,33
"96","2415500","Charlton CDP"," Maryland","2020",112,112,0,0
"97","2415925","Chesapeake Beach town"," Maryland","2020",2568,2086,482,18.7694704049844
"98","2415950","Chesapeake City town"," Maryland","2020",347,309,18,5.18731988472623
"99","2416025","Chesapeake Landing CDP"," Maryland","2020",57,57,0,0
"100","2416050","Chesapeake Ranch Estates CDP"," Maryland","2020",3242,3035,194,5.98396051819864
"101","2416125","Chester CDP"," Maryland","2020",1881,1645,154,8.18713450292398
"102","2416225","Chestertown town"," Maryland","2020",2134,1426,586,27.4601686972821
"103","2416550","Cheverly town"," Maryland","2020",2617,2465,152,5.80817730225449
"104","2416620","Chevy Chase town"," Maryland","2020",1006,1006,0,0
"105","2416625","Chevy Chase CDP"," Maryland","2020",3710,3507,196,5.28301886792453
"106","2416720","Chevy Chase Section Five village"," Maryland","2020",237,224,11,4.64135021097046
"107","2416730","Chevy Chase Section Three village"," Maryland","2020",270,266,4,1.48148148148148
"108","2416775","Chevy Chase View town"," Maryland","2020",342,334,8,2.33918128654971
"109","2416787","Chevy Chase Village town"," Maryland","2020",679,648,20,2.94550810014728
"110","2416800","Chewsville CDP"," Maryland","2020",102,102,0,0
"111","2416875","Chillum CDP"," Maryland","2020",10252,9002,1130,11.0222395630121
"112","2417000","Choptank CDP"," Maryland","2020",22,14,8,36.3636363636364
"113","2417050","Church Creek town"," Maryland","2020",46,30,16,34.7826086956522
"114","2417100","Church Hill town"," Maryland","2020",339,248,45,13.2743362831858
"115","2417350","Clarksburg CDP"," Maryland","2020",7851,7688,81,1.03171570500573
"116","2417475","Clarysville CDP"," Maryland","2020",19,0,19,100
"117","2417600","Clear Spring town"," Maryland","2020",188,131,50,26.5957446808511
"118","2417900","Clinton CDP"," Maryland","2020",12473,11595,638,5.1150485047703
"119","2418150","Cloverly CDP"," Maryland","2020",4848,4673,151,3.11468646864686
"120","2418200","Cobb Island CDP"," Maryland","2020",474,427,35,7.38396624472574
"121","2418250","Cockeysville CDP"," Maryland","2020",9671,8784,749,7.74480405335539
"122","2418475","Colesville CDP"," Maryland","2020",4949,4670,227,4.58678520913316
"123","2418750","College Park city"," Maryland","2020",7620,6559,461,6.0498687664042
"124","2418850","Colmar Manor town"," Maryland","2020",422,388,32,7.58293838862559
"125","2419125","Columbia CDP"," Maryland","2020",41261,38730,1966,4.76478999539517
"126","2419825","Coral Hills CDP"," Maryland","2020",3483,2887,508,14.5851277634223
"127","2419900","Cordova CDP"," Maryland","2020",205,180,25,12.1951219512195
"128","2419975","Corriganville CDP"," Maryland","2020",278,135,143,51.4388489208633
"129","2420050","Cottage City town"," Maryland","2020",433,333,73,16.8591224018476
"130","2420500","Crellin CDP"," Maryland","2020",35,8,13,37.1428571428571
"131","2420525","Cresaptown CDP"," Maryland","2020",972,774,153,15.7407407407407
"132","2420775","Crisfield city"," Maryland","2020",1072,853,215,20.0559701492537
"133","2420875","Crofton CDP"," Maryland","2020",10235,9991,133,1.29946262823644
"134","2420925","Croom CDP"," Maryland","2020",908,804,94,10.352422907489
"135","2421075","Crownsville CDP"," Maryland","2020",591,504,87,14.7208121827411
"136","2421150","Crumpton CDP"," Maryland","2020",164,144,20,12.1951219512195
