"","GEOID","Place","State","year","total","yes_internet","no_internet"
"324","2450775","Marlton CDP"," Maryland","2020",3516,3386,109
"325","2450965","Martin's Additions village"," Maryland","2020",342,331,9
"326","2451025","Marydel town"," Maryland","2020",60,42,13
"327","2451075","Maryland City CDP"," Maryland","2020",6873,6439,385
"328","2451125","Maryland Park CDP"," Maryland","2020",215,191,19
"329","2451425","Maugansville CDP"," Maryland","2020",946,758,188
"330","2451575","Mayo CDP"," Maryland","2020",2958,2764,88
"331","2451587","Mays Chapel CDP"," Maryland","2020",4734,4519,190
"332","2451800","Mechanicsville CDP"," Maryland","2020",628,516,71
"333","2451940","Melwood CDP"," Maryland","2020",1588,1296,197
"334","2451945","Mercersville CDP"," Maryland","2020",113,66,47
"335","2452225","Middleburg CDP"," Maryland","2020",0,0,0
"336","2452300","Middle River CDP"," Maryland","2020",11125,9400,1293
"337","2452425","Middletown town"," Maryland","2020",1568,1494,62
"338","2452475","Midland town"," Maryland","2020",255,197,39
"339","2452525","Midlothian CDP"," Maryland","2020",191,126,65
"340","2452562","Milford Mill CDP"," Maryland","2020",11512,10017,1071
"341","2452825","Millington town"," Maryland","2020",215,153,42
"342","2452975","Mitchellville CDP"," Maryland","2020",3813,3762,45
"343","2453100","Monrovia CDP"," Maryland","2020",442,442,0
"344","2453325","Montgomery Village CDP"," Maryland","2020",11850,10560,933
"345","2453625","Morningside town"," Maryland","2020",420,281,134
"346","2453700","Moscow CDP"," Maryland","2020",149,139,10
"347","2453750","Mount Aetna CDP"," Maryland","2020",193,183,10
"348","2453800","Mountain Lake Park town"," Maryland","2020",848,732,106
"349","2453875","Mount Airy town"," Maryland","2020",3159,2869,193
"350","2453925","Mount Briar CDP"," Maryland","2020",42,29,13
"351","2454125","Mount Lena CDP"," Maryland","2020",128,109,19
"352","2454275","Mount Rainier city"," Maryland","2020",3963,3483,435
"353","2454325","Mount Savage CDP"," Maryland","2020",320,192,108
"354","2454375","Mount Vernon CDP"," Maryland","2020",374,346,28
"355","2454875","Myersville town"," Maryland","2020",626,587,39
"356","2454925","Nanticoke CDP"," Maryland","2020",94,94,0
"357","2454930","Nanticoke Acres CDP"," Maryland","2020",23,23,0
"358","2455000","National CDP"," Maryland","2020",22,13,9
"359","2455018","National Harbor CDP"," Maryland","2020",1880,1792,71
"360","2455050","Naval Academy CDP"," Maryland","2020",257,241,16
"361","2455325","Newark CDP"," Maryland","2020",168,168,0
"362","2455400","New Carrollton city"," Maryland","2020",4250,3601,454
"363","2455650","New Market town"," Maryland","2020",465,444,21
"364","2455925","New Windsor town"," Maryland","2020",496,448,37
"365","2455950","Nikep CDP"," Maryland","2020",0,0,0
"366","2456300","North Beach town"," Maryland","2020",1114,980,100
"367","2456337","North Bethesda CDP"," Maryland","2020",21218,20173,695
"368","2456375","North Brentwood town"," Maryland","2020",209,184,23
"369","2456400","North Chevy Chase village"," Maryland","2020",186,184,2
"370","2456450","North East town"," Maryland","2020",1420,1213,108
"371","2456712","North Kensington CDP"," Maryland","2020",3481,3168,233
"372","2456725","North Laurel CDP"," Maryland","2020",8523,8154,281
"373","2456875","North Potomac CDP"," Maryland","2020",8076,7906,141
"374","2457650","Oakland town"," Maryland","2020",900,712,157
"375","2458215","Ocean CDP"," Maryland","2020",0,0,0
"376","2458225","Ocean City town"," Maryland","2020",3720,3213,402
"377","2458275","Ocean Pines CDP"," Maryland","2020",5838,5274,522
"378","2458300","Odenton CDP"," Maryland","2020",17119,15956,811
"379","2458775","Oldtown CDP"," Maryland","2020",18,18,0
"380","2458900","Olney CDP"," Maryland","2020",11727,11296,354
"381","2459325","Overlea CDP"," Maryland","2020",5060,4375,573
"382","2459375","Owings CDP"," Maryland","2020",932,896,24
"383","2459425","Owings Mills CDP"," Maryland","2020",13705,12319,1298
"384","2459450","Oxford town"," Maryland","2020",425,411,11
"385","2459500","Oxon Hill CDP"," Maryland","2020",6900,6265,530
"386","2459787","Paramount-Long Meadow CDP"," Maryland","2020",920,852,44
"387","2460275","Parkville CDP"," Maryland","2020",12022,10604,1211
"388","2460325","Parole CDP"," Maryland","2020",8995,8249,563
"389","2460425","Parsonsburg CDP"," Maryland","2020",80,53,15
"390","2460475","Pasadena CDP"," Maryland","2020",11309,10716,503
"391","2460770","Pecktonville CDP"," Maryland","2020",66,66,0
"392","2460950","Peppermill Village CDP"," Maryland","2020",1755,1601,109
"393","2460975","Perry Hall CDP"," Maryland","2020",10408,9737,579
"394","2461075","Perryman CDP"," Maryland","2020",971,810,118
"395","2461150","Perryville town"," Maryland","2020",1748,1504,244
"396","2461400","Pikesville CDP"," Maryland","2020",13342,11378,1505
"397","2461700","Pinesburg CDP"," Maryland","2020",109,109,0
"398","2461875","Piney Point CDP"," Maryland","2020",415,323,78
"399","2462025","Pittsville town"," Maryland","2020",685,596,71
"400","2462100","Pleasant Grove CDP"," Maryland","2020",119,105,14
"401","2462175","Pleasant Hills CDP"," Maryland","2020",1404,1365,30
"402","2462475","Pocomoke City city"," Maryland","2020",1786,1348,329
"403","2462575","Point of Rocks CDP"," Maryland","2020",700,676,19
"404","2462675","Pomfret CDP"," Maryland","2020",199,166,33
"405","2462775","Pondsville CDP"," Maryland","2020",9,9,0
"406","2462850","Poolesville town"," Maryland","2020",1640,1599,31
"407","2463075","Port Deposit town"," Maryland","2020",258,221,35
"408","2463225","Port Tobacco Village town"," Maryland","2020",2,2,0
"409","2463300","Potomac CDP"," Maryland","2020",16131,15626,365
"410","2463375","Potomac Heights CDP"," Maryland","2020",636,474,147
"411","2463425","Potomac Park CDP"," Maryland","2020",336,251,78
"412","2463725","Powellville CDP"," Maryland","2020",40,31,9
"413","2463825","Preston town"," Maryland","2020",326,288,29
"414","2463950","Prince Frederick CDP"," Maryland","2020",1158,882,243
"415","2464000","Princess Anne town"," Maryland","2020",1440,1261,147
"416","2464375","Pylesville CDP"," Maryland","2020",288,240,48
"417","2464475","Quantico CDP"," Maryland","2020",49,49,0
"418","2464495","Queen Anne CDP"," Maryland","2020",439,425,0
"419","2464500","Queen Anne town"," Maryland","2020",94,76,14
"420","2464568","Queensland CDP"," Maryland","2020",623,596,0
"421","2464600","Queenstown town"," Maryland","2020",313,243,55
"422","2464950","Randallstown CDP"," Maryland","2020",12970,11958,752
"423","2465150","Rawlings CDP"," Maryland","2020",160,149,11
"424","2465312","Redland CDP"," Maryland","2020",5356,5088,159
"425","2465550","Reid CDP"," Maryland","2020",0,0,0
"426","2465600","Reisterstown CDP"," Maryland","2020",10512,9714,738
"427","2466000","Ridgely town"," Maryland","2020",753,588,145
"428","2466150","Ringgold CDP"," Maryland","2020",45,40,5
"429","2466275","Rising Sun town"," Maryland","2020",982,848,125
"430","2466400","Riva CDP"," Maryland","2020",1588,1515,73
"431","2466635","Riverdale Park town"," Maryland","2020",2096,1710,325
"432","2466762","Riverside CDP"," Maryland","2020",2548,2445,56
"433","2466850","Riviera Beach CDP"," Maryland","2020",4618,4232,345
"434","2467000","Robinwood CDP"," Maryland","2020",2773,2437,281
"435","2467400","Rock Hall town"," Maryland","2020",671,541,117
"436","2467500","Rock Point CDP"," Maryland","2020",30,22,8
"437","2467675","Rockville city"," Maryland","2020",26439,24726,1159
