"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"179","24005408900","Census Tract 4089"," Baltimore County"," Maryland","number_households",1059,89,"2010"
"180","24005408900","Census Tract 4089"," Baltimore County"," Maryland","median_income",87132,19629,"2010"
"181","24005410100","Census Tract 4101"," Baltimore County"," Maryland","number_households",2141,101,"2010"
"182","24005410100","Census Tract 4101"," Baltimore County"," Maryland","median_income",139511,13743,"2010"
"183","24005410200","Census Tract 4102"," Baltimore County"," Maryland","number_households",1586,88,"2010"
"184","24005410200","Census Tract 4102"," Baltimore County"," Maryland","median_income",121000,11203,"2010"
"185","24005411101","Census Tract 4111.01"," Baltimore County"," Maryland","number_households",817,54,"2010"
"186","24005411101","Census Tract 4111.01"," Baltimore County"," Maryland","median_income",82364,16425,"2010"
"187","24005411102","Census Tract 4111.02"," Baltimore County"," Maryland","number_households",1118,91,"2010"
"188","24005411102","Census Tract 4111.02"," Baltimore County"," Maryland","median_income",80455,7379,"2010"
"189","24005411201","Census Tract 4112.01"," Baltimore County"," Maryland","number_households",1218,31,"2010"
"190","24005411201","Census Tract 4112.01"," Baltimore County"," Maryland","median_income",110833,25509,"2010"
"191","24005411202","Census Tract 4112.02"," Baltimore County"," Maryland","number_households",1519,111,"2010"
"192","24005411202","Census Tract 4112.02"," Baltimore County"," Maryland","median_income",85506,12570,"2010"
"193","24005411302","Census Tract 4113.02"," Baltimore County"," Maryland","number_households",1062,84,"2010"
"194","24005411302","Census Tract 4113.02"," Baltimore County"," Maryland","median_income",85365,21763,"2010"
"195","24005411303","Census Tract 4113.03"," Baltimore County"," Maryland","number_households",2620,127,"2010"
"196","24005411303","Census Tract 4113.03"," Baltimore County"," Maryland","median_income",69258,5539,"2010"
"197","24005411306","Census Tract 4113.06"," Baltimore County"," Maryland","number_households",2102,117,"2010"
"198","24005411306","Census Tract 4113.06"," Baltimore County"," Maryland","median_income",75973,5146,"2010"
"199","24005411307","Census Tract 4113.07"," Baltimore County"," Maryland","number_households",1488,96,"2010"
"200","24005411307","Census Tract 4113.07"," Baltimore County"," Maryland","median_income",64167,8031,"2010"
"201","24005411308","Census Tract 4113.08"," Baltimore County"," Maryland","number_households",1402,59,"2010"
"202","24005411308","Census Tract 4113.08"," Baltimore County"," Maryland","median_income",86803,4838,"2010"
"203","24005411309","Census Tract 4113.09"," Baltimore County"," Maryland","number_households",2762,98,"2010"
