"","GEOID","Census_Tract","County","State","variable","estimate","moe","year"
"7791","24033803608","Census Tract 8036.08"," Prince George's County"," Maryland","number_households",1729,150,"2020"
"7792","24033803608","Census Tract 8036.08"," Prince George's County"," Maryland","median_income",91250,11015,"2020"
"7793","24033803610","Census Tract 8036.10"," Prince George's County"," Maryland","number_households",1077,158,"2020"
"7794","24033803610","Census Tract 8036.10"," Prince George's County"," Maryland","median_income",74743,19433,"2020"
"7795","24033803612","Census Tract 8036.12"," Prince George's County"," Maryland","number_households",1290,120,"2020"
"7796","24033803612","Census Tract 8036.12"," Prince George's County"," Maryland","median_income",63239,10746,"2020"
"7797","24033803613","Census Tract 8036.13"," Prince George's County"," Maryland","number_households",2250,270,"2020"
"7798","24033803613","Census Tract 8036.13"," Prince George's County"," Maryland","median_income",57708,14412,"2020"
"7799","24033803700","Census Tract 8037"," Prince George's County"," Maryland","number_households",748,81,"2020"
"7800","24033803700","Census Tract 8037"," Prince George's County"," Maryland","median_income",69500,21281,"2020"
"7801","24033803801","Census Tract 8038.01"," Prince George's County"," Maryland","number_households",672,103,"2020"
"7802","24033803801","Census Tract 8038.01"," Prince George's County"," Maryland","median_income",70608,14958,"2020"
"7803","24033803803","Census Tract 8038.03"," Prince George's County"," Maryland","number_households",1579,206,"2020"
"7804","24033803803","Census Tract 8038.03"," Prince George's County"," Maryland","median_income",84931,12316,"2020"
"7805","24033803900","Census Tract 8039"," Prince George's County"," Maryland","number_households",865,111,"2020"
"7806","24033803900","Census Tract 8039"," Prince George's County"," Maryland","median_income",67625,23945,"2020"
"7807","24033804001","Census Tract 8040.01"," Prince George's County"," Maryland","number_households",2367,357,"2020"
"7808","24033804001","Census Tract 8040.01"," Prince George's County"," Maryland","median_income",46813,10452,"2020"
"7809","24033804002","Census Tract 8040.02"," Prince George's County"," Maryland","number_households",1317,195,"2020"
"7810","24033804002","Census Tract 8040.02"," Prince George's County"," Maryland","median_income",55043,3918,"2020"
"7811","24033804101","Census Tract 8041.01"," Prince George's County"," Maryland","number_households",1250,154,"2020"
"7812","24033804101","Census Tract 8041.01"," Prince George's County"," Maryland","median_income",80500,13760,"2020"
"7813","24033804102","Census Tract 8041.02"," Prince George's County"," Maryland","number_households",1946,302,"2020"
"7814","24033804102","Census Tract 8041.02"," Prince George's County"," Maryland","median_income",78036,16255,"2020"
"7815","24033804200","Census Tract 8042"," Prince George's County"," Maryland","number_households",1369,184,"2020"
"7816","24033804200","Census Tract 8042"," Prince George's County"," Maryland","median_income",125162,15960,"2020"
"7817","24033804300","Census Tract 8043"," Prince George's County"," Maryland","number_households",1121,158,"2020"
"7818","24033804300","Census Tract 8043"," Prince George's County"," Maryland","median_income",60563,8409,"2020"
"7819","24033804400","Census Tract 8044"," Prince George's County"," Maryland","number_households",855,107,"2020"
"7820","24033804400","Census Tract 8044"," Prince George's County"," Maryland","median_income",71875,9750,"2020"
"7821","24033804600","Census Tract 8046"," Prince George's County"," Maryland","number_households",931,146,"2020"
"7822","24033804600","Census Tract 8046"," Prince George's County"," Maryland","median_income",85536,12152,"2020"
"7823","24033804700","Census Tract 8047"," Prince George's County"," Maryland","number_households",1689,345,"2020"
"7824","24033804700","Census Tract 8047"," Prince George's County"," Maryland","median_income",60938,22366,"2020"
"7825","24033804801","Census Tract 8048.01"," Prince George's County"," Maryland","number_households",1436,246,"2020"
