"","location_name","street_address","city","region","postal_code","dln_visits_yoy","start","foot_traffic_yoy","address"
"13","Adrian Steel Maryland","7600 Energy Pkwy","Baltimore","MD","21226",-1.44691896438599,2024-06-01,1.44691896438599,"7600 Energy Pkwy Baltimore MD 21226"
"14","Dejavu Salon & Spa","2107 N North Point Blvd Ste","Dundalk","MD","21222",-1.43641877174377,2024-01-01,1.43641877174377,"2107 N North Point Blvd Ste Dundalk MD 21222"
"15","Adrian Steel Maryland","7600 Energy Pkwy","Baltimore","MD","21226",-1.43508458137512,2024-02-01,1.43508458137512,"7600 Energy Pkwy Baltimore MD 21226"
"16","Vulcan Materials Co","420 Frankfurst Ave","Curtis Bay","MD","21226",-1.35239279270172,2024-07-01,1.35239279270172,"420 Frankfurst Ave Curtis Bay MD 21226"
"17","First Apostolic Faith Gospel Tabernacle Church Of Turner Statio","206 Balnew Ave","Dundalk","MD","21222",-1.28966748714447,2024-01-01,1.28966748714447,"206 Balnew Ave Dundalk MD 21222"
"18","Carroll Independent Fuel","7115 N Point Rd","Baltimore","MD","21219",-1.24725329875946,2024-01-01,1.24725329875946,"7115 N Point Rd Baltimore MD 21219"
"19","Taste International","4314 Curtis Ave","Baltimore","MD","21226",-1.2360121011734,2024-01-01,1.2360121011734,"4314 Curtis Ave Baltimore MD 21226"
"20","Open Hearth Inn","6591 Saint Helena Ave","Dundalk","MD","21222",-1.20695340633392,2024-04-01,1.20695340633392,"6591 Saint Helena Ave Dundalk MD 21222"
"21","Eisners Auto Sales","4215 North Point Rd","Dundalk","MD","21222",-1.18958401679993,2024-04-01,1.18958401679993,"4215 North Point Rd Dundalk MD 21222"
"22","Four Sons Automotive","1000 Wise Ave","Dundalk","MD","21222",-1.18269538879395,2024-03-01,1.18269538879395,"1000 Wise Ave Dundalk MD 21222"
"23","Iglesia De Dios De La Profecia","7837 Jamesford Rd","Dundalk","MD","21222",-1.1505720615387,2024-04-01,1.1505720615387,"7837 Jamesford Rd Dundalk MD 21222"
"24","Fiberglass Unlimited","6608 Fort Smallwood Rd","Curtis Bay","MD","21226",-1.12275636196136,2024-06-01,1.12275636196136,"6608 Fort Smallwood Rd Curtis Bay MD 21226"
"25","St Helena Conv Store","275 Saint Helena Ave","Dundalk","MD","21222",-1.0986123085022,2024-04-01,1.0986123085022,"275 Saint Helena Ave Dundalk MD 21222"
"26","Jock City Sporting Goods","7700 German Hill Rd","Dundalk","MD","21222",-1.07263684272766,2024-07-01,1.07263684272766,"7700 German Hill Rd Dundalk MD 21222"
"27","Sonny's Beauty Salon","7730 N Point Rd","Sparrows Pt","MD","21219",-0.993251800537109,2024-02-01,0.993251800537109,"7730 N Point Rd Sparrows Pt MD 21219"
"28","Greater St John Baptist Church","209 Walnut Ave","Dundalk","MD","21222",-0.980829238891602,2024-02-01,0.980829238891602,"209 Walnut Ave Dundalk MD 21222"
"29","U T S","4000 Beachwood Rd","Dundalk","MD","21222",-0.967992126941681,2024-04-01,0.967992126941681,"4000 Beachwood Rd Dundalk MD 21222"
"30","Crown Pizza & Wings","7717 Westfield Rd","Dundalk","MD","21222",-0.955511450767517,2024-05-01,0.955511450767517,"7717 Westfield Rd Dundalk MD 21222"
"31","Just Wright Auto","6309 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.899483621120453,2024-03-01,0.899483621120453,"6309 Fort Smallwood Rd Curtis Bay MD 21226"
"32","Fiberglass Unlimited","6608 Fort Smallwood Rd","Curtis Bay","MD","21226",-0.857180118560791,2024-02-01,0.857180118560791,"6608 Fort Smallwood Rd Curtis Bay MD 21226"
"33","Dundalk Athletic Club","7801 Seaside Rd","Dundalk","MD","21222",-0.855666100978851,2024-04-01,0.855666100978851,"7801 Seaside Rd Dundalk MD 21222"
"34","North Point Liquor & Bar","1110 North Point Rd","Dundalk","MD","21222",-0.855666100978851,2024-02-01,0.855666100978851,"1110 North Point Rd Dundalk MD 21222"
"35","Glass America","1123 N Point Rd","Dundalk","MD","21222",-0.852211892604828,2024-06-01,0.852211892604828,"1123 N Point Rd Dundalk MD 21222"
"36","Foundation Building Materials (FBM)","8203 Fischer Rd","Baltimore","MD","21222",-0.849716246128082,2024-06-01,0.849716246128082,"8203 Fischer Rd Baltimore MD 21222"
