OID_PLACE_20|GEOID_PLACE_20|NAMELSAD_PLACE_20|AREALAND_PLACE_20|AREAWATER_PLACE_20|MTFCC_PLACE_20|CLASSFP_PLACE_20|FUNCSTAT_PLACE_20|OID_PLACE_10|GEOID_PLACE_10|NAMELSAD_PLACE_10|AREALAND_PLACE_10|AREAWATER_PLACE_10|MTFCC_PLACE_10|CLASSFP_PLACE_10|FUNCSTAT_PLACE_10|AREALAND_PART|AREAWATER_PART
28090286317623|2452975|Mitchellville CDP|12787076|54959|G4210|U1|S|28040286317623|2452975|Mitchellville CDP|13083541|55107|G4210|U1|S|12787076|54959
280903717001996|2453100|Monrovia CDP|5815232|2656|G4210|U1|S|||||||||232976|0
280903717001996|2453100|Monrovia CDP|5815232|2656|G4210|U1|S|280403717001996|2453100|Monrovia CDP|5824867|2656|G4210|U1|S|5582256|2656
28090158088619|2453325|Montgomery Village CDP|10054415|209839|G4210|U1|S|||||||||82505|0
28090158088619|2453325|Montgomery Village CDP|10054415|209839|G4210|U1|S|28040158088619|2453325|Montgomery Village CDP|10291881|209839|G4210|U1|S|9971910|209839
27890286317624|2453625|Morningside town|1488231|0|G4110|C1|A|28040286317580|2401450|Andrews AFB CDP|17907780|91636|G4210|M2|S|2154|0
27890286317624|2453625|Morningside town|1488231|0|G4110|C1|A|28040286317587|2412600|Camp Springs CDP|19940677|37232|G4210|U1|S|76078|0
27890286317624|2453625|Morningside town|1488231|0|G4110|C1|A|28040286317603|2429000|Forestville CDP|10164340|0|G4210|U1|S|6712|0
27890286317624|2453625|Morningside town|1488231|0|G4110|C1|A|27840286317624|2453625|Morningside town|1438180|1987|G4110|C1|A|1396632|0
27890286317624|2453625|Morningside town|1488231|0|G4110|C1|A|280403716512999|2483290|Westphalia CDP|34364400|69122|G4210|U1|S|6655|0
280903710977165|2453700|Moscow CDP|634957|14008|G4210|U1|S|||||||||218752|0
280903710977165|2453700|Moscow CDP|634957|14008|G4210|U1|S|27840762616770|2404625|Barton town|573592|11312|G4110|C1|A|6836|2180
280903710977165|2453700|Moscow CDP|634957|14008|G4210|U1|S|280403710977165|2453700|Moscow CDP|420516|11828|G4210|U1|S|409369|11828
28090163788584|2453750|Mount Aetna CDP|3659165|0|G4210|U1|S|28040163788584|2453750|Mount Aetna CDP|3659165|0|G4210|U1|S|3659165|0
27890156250289|2453800|Mountain Lake Park town|4958562|182608|G4110|C1|A|27840156250289|2453800|Mountain Lake Park town|5014325|182608|G4110|C1|A|4958562|182608
27890148014685|2453875|Mount Airy town|10678353|30346|G4110|C1|A|||||||||60907|0
27890148014685|2453875|Mount Airy town|10678353|30346|G4110|C1|A|27840148014685|2453875|Mount Airy town|10674014|30346|G4110|C1|A|10617446|30346
280903927375149|2453925|Mount Briar CDP|1613189|0|G4210|U1|S|280403927375149|2453925|Mount Briar CDP|1613189|0|G4210|U1|S|1613189|0
28090163788585|2454125|Mount Lena CDP|3245495|0|G4210|U1|S|28040163788585|2454125|Mount Lena CDP|3245495|0|G4210|U1|S|3245495|0
27890286317625|2454275|Mount Rainier city|1648058|218|G4110|C1|A|27840286317586|2409500|Brentwood town|997758|0|G4110|C1|A|3948|0
27890286317625|2454275|Mount Rainier city|1648058|218|G4110|C1|A|28040286317591|2416875|Chillum CDP|8874242|75366|G4210|U1|S|11659|0
27890286317625|2454275|Mount Rainier city|1648058|218|G4110|C1|A|27840286317613|2441250|Hyattsville city|6887194|68734|G4110|C1|A|0|218
27890286317625|2454275|Mount Rainier city|1648058|218|G4110|C1|A|27840286317625|2454275|Mount Rainier city|1674740|0|G4110|C1|A|1632451|0
280903710977118|2454325|Mount Savage CDP|2481676|0|G4210|U1|S|||||||||96206|0
280903710977118|2454325|Mount Savage CDP|2481676|0|G4210|U1|S|280403710977118|2454325|Mount Savage CDP|2385470|0|G4210|U1|S|2385470|0
28090161902974|2454375|Mount Vernon CDP|33740993|6790436|G4210|U1|S|28040161902974|2454375|Mount Vernon CDP|33740993|6790436|G4210|U1|S|33740993|6790436
27890155286850|2454875|Myersville town|2786775|2408|G4110|C1|A|||||||||264428|0
27890155286850|2454875|Myersville town|2786775|2408|G4110|C1|A|27840155286850|2454875|Myersville town|2601686|2408|G4110|C1|A|2522347|2408
280903716922162|2454925|Nanticoke CDP|6804456|20657|G4210|U1|S|||||||||95755|0
280903716922162|2454925|Nanticoke CDP|6804456|20657|G4210|U1|S|280403716922162|2454925|Nanticoke CDP|6708701|20657|G4210|U1|S|6708701|20657
280903716922164|2454930|Nanticoke Acres CDP|681860|0|G4210|U1|S|280403716922164|2454930|Nanticoke Acres CDP|681860|0|G4210|U1|S|681860|0
280903710977155|2455000|National CDP|406756|4748|G4210|U1|S|280403710977155|2455000|National CDP|406756|4748|G4210|U1|S|406756|4748
280903716512980|2455018|National Harbor CDP|3296282|1023539|G4210|U1|S|280403716512980|2455018|National Harbor CDP|3775230|1023539|G4210|U2|S|3296282|1023539
28090266655594|2455050|Naval Academy CDP|1384386|833403|G4210|M2|S|27840266655573|2401600|Annapolis city|18696393|2344599|G4110|C1|A|1132|0
28090266655594|2455050|Naval Academy CDP|1384386|833403|G4210|M2|S|28040266655594|2455050|Naval Academy CDP|1383254|833403|G4210|M2|S|1383254|833403
28090164561717|2455325|Newark CDP|24444504|42614|G4210|U1|S|28040164561717|2455325|Newark CDP|24624644|42614|G4210|U1|S|24444504|42614
27890286317626|2455400|New Carrollton city|4054806|0|G4110|C1|A|||||||||242544|0
27890286317626|2455400|New Carrollton city|4054806|0|G4110|C1|A|28040286317599|2424650|East Riverdale CDP|4181262|0|G4210|U1|S|9263|0
27890286317626|2455400|New Carrollton city|4054806|0|G4110|C1|A|27840286317626|2455400|New Carrollton city|3961533|0|G4110|C1|A|3776891|0
27890286317626|2455400|New Carrollton city|4054806|0|G4110|C1|A|280403716512981|2470775|Seabrook CDP|7827860|1843|G4210|U1|S|9278|0
27890286317626|2455400|New Carrollton city|4054806|0|G4110|C1|A|28040286317640|2486525|Woodlawn CDP|3012291|6299|G4210|U1|S|16830|0
27890155286851|2455650|New Market town|4203502|2649|G4110|C1|A|||||||||2200925|2649
27890155286851|2455650|New Market town|4203502|2649|G4110|C1|A|27840155286851|2455650|New Market town|2057041|0|G4110|C1|A|2002577|0
27890148014686|2455925|New Windsor town|1912305|23560|G4110|C1|A|||||||||51169|0
27890148014686|2455925|New Windsor town|1912305|23560|G4110|C1|A|27840148014686|2455925|New Windsor town|1918267|23560|G4110|C1|A|1861136|23560
280903710977164|2455950|Nikep CDP|389720|0|G4210|U1|S|280403710977164|2455950|Nikep CDP|389720|0|G4210|U1|S|389720|0
27890388516470|2456300|North Beach town|853079|36636|G4110|C1|A|27840388516470|2456300|North Beach town|856605|36636|G4110|C1|A|853079|36636
28090158088620|2456337|North Bethesda CDP|22979371|58661|G4210|U1|S|27840158088611|2431525|Garrett Park town|661982|0|G4110|C1|A|8966|0
28090158088620|2456337|North Bethesda CDP|22979371|58661|G4210|U1|S|28040158088620|2456337|North Bethesda CDP|22963985|38399|G4210|U1|S|22932884|38399
28090158088620|2456337|North Bethesda CDP|22979371|58661|G4210|U1|S|28040158088622|2456712|North Kensington CDP|3947046|28453|G4210|U1|S|0|20262
28090158088620|2456337|North Bethesda CDP|22979371|58661|G4210|U1|S|27840158088628|2467675|Rockville city|35091031|95366|G4110|C1|A|37521|0
27890286317627|2456375|North Brentwood town|292359|0|G4110|C1|A|27840286317586|2409500|Brentwood town|997758|0|G4110|C1|A|26937|0
27890286317627|2456375|North Brentwood town|292359|0|G4110|C1|A|27840286317627|2456375|North Brentwood town|265525|0|G4110|C1|A|265422|0
27890158088621|2456400|North Chevy Chase village|301074|0|G4110|C1|A|28040158088597|2416625|Chevy Chase CDP|6198789|13715|G4210|U1|S|15223|0
27890158088621|2456400|North Chevy Chase village|301074|0|G4110|C1|A|27840158088621|2456400|North Chevy Chase village|290311|0|G4110|C1|A|285851|0
27890149646320|2456450|North East town|5286555|94684|G4110|C1|A|||||||||344071|11307
27890149646320|2456450|North East town|5286555|94684|G4110|C1|A|27840149646320|2456450|North East town|5303406|121058|G4110|C1|A|4942484|83377
28090158088622|2456712|North Kensington CDP|3873268|8191|G4210|U1|S|27840158088616|2443500|Kensington town|1235489|0|G4110|C1|A|2205|0
28090158088622|2456712|North Kensington CDP|3873268|8191|G4210|U1|S|28040158088622|2456712|North Kensington CDP|3947046|28453|G4210|U1|S|3871063|8191
28090157508853|2456725|North Laurel CDP|16787367|146467|G4210|U1|S|28040157508853|2456725|North Laurel CDP|3192840|107938|G4210|U1|S|3192840|107938
28090157508853|2456725|North Laurel CDP|16787367|146467|G4210|U1|S|280403717001976|2470530|Scaggsville CDP|26643117|951892|G4210|U1|S|13594527|38529
28090158088623|2456875|North Potomac CDP|16890512|104396|G4210|U1|S|28040158088623|2456875|North Potomac CDP|16922642|104396|G4210|U1|S|16888700|104396
28090158088623|2456875|North Potomac CDP|16890512|104396|G4210|U1|S|27840158088628|2467675|Rockville city|35091031|95366|G4110|C1|A|1812|0
27890156250290|2457650|Oakland town|7023995|22953|G4110|C1|A|||||||||338251|0
27890156250290|2457650|Oakland town|7023995|22953|G4110|C1|A|27840156250290|2457650|Oakland town|6875019|22953|G4110|C1|A|6685744|22953
280903710977161|2458215|Ocean CDP|113960|0|G4210|U1|S|280403710977161|2458215|Ocean CDP|113960|0|G4210|U1|S|113960|0
27890164561718|2458225|Ocean City town|11734802|13253795|G4110|C1|A|||||||||12291|4344142
27890164561718|2458225|Ocean City town|11734802|13253795|G4110|C1|A|27840164561718|2458225|Ocean City town|11722511|82441488|G4110|C1|A|11722511|8909653
28090164561719|2458275|Ocean Pines CDP|16768925|6701132|G4210|U1|S|||||||||1080137|35318
28090164561719|2458275|Ocean Pines CDP|16768925|6701132|G4210|U1|S|28040164561719|2458275|Ocean Pines CDP|17244845|7022162|G4210|U1|S|15688788|6665814
