County,County Name,Election District - Precinct,Congressional,Legislative,Office Name,Office District,Candidate Name,Party,Winner,Write-In?,Early Votes,Early Votes Against,Election Night Votes,Election Night Votes Against,Mail-In Ballot 1 Votes,Mail-In Ballot 1 Votes Against,Provisional Votes,Provisional Votes Against,Mail-In Ballot 2 Votes,Mail-In Ballot 2 Votes Against 
3,Baltimore City,001-003,7,46,U.S. Senator,,Other Write-Ins,,,Y,1,,0,,0,,0,,0, 
3,Baltimore City,001-003,7,46,U.S. Congress,7,Scott M. Collier,REP,,,20,,87,,23,,3,,10, 
3,Baltimore City,001-003,7,46,U.S. Congress,7,Kweisi Mfume,DEM,Y,,86,,304,,152,,36,,118, 
3,Baltimore City,001-003,7,46,U.S. Congress,7,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-003,7,46,State Senator,46,Emmanuel Digman,REP,,,17,,71,,16,,3,,10, 
3,Baltimore City,001-003,7,46,State Senator,46,Bill Ferguson,DEM,Y,,88,,318,,162,,34,,113, 
3,Baltimore City,001-003,7,46,State Senator,46,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-003,7,46,House of Delegates,46,Pete Waters,REP,,,15,,94,,24,,3,,12, 
3,Baltimore City,001-003,7,46,House of Delegates,46,Luke Clippinger,DEM,Y,,81,,286,,144,,28,,104, 
3,Baltimore City,001-003,7,46,House of Delegates,46,Mark Edelson,DEM,Y,,84,,296,,151,,30,,102, 
3,Baltimore City,001-003,7,46,House of Delegates,46,Robbyn Lewis,DEM,Y,,75,,283,,142,,28,,101, 
3,Baltimore City,001-003,7,46,House of Delegates,46,Other Write-Ins,,,Y,1,,2,,0,,0,,1, 
3,Baltimore City,001-003,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Erik Atas,JUD,Y,,51,,204,,84,,15,,57, 
3,Baltimore City,001-003,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Charles Mario Blomquist,JUD,Y,,59,,190,,84,,12,,59, 
3,Baltimore City,001-003,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Myshala E. Middleton,JUD,Y,,61,,219,,89,,18,,64, 
3,Baltimore City,001-003,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Barry G. Williams,JUD,Y,,59,,199,,86,,19,,61, 
3,Baltimore City,001-003,7,46,Judge Circuit Court,Baltimore City Circuit Court 08,Other Write-Ins,,,Y,3,,8,,2,,0,,2, 
3,Baltimore City,001-003,7,46,Judge Spec Appeal at Lg,,Stuart R. Berger,JUD,Y,,71,10,243,59,106,22,19,6,70,16
3,Baltimore City,001-003,7,46,Judge Spec Appeal at Lg,,Terrence M. R. Zic,JUD,Y,,59,19,234,61,99,23,20,8,57,23
3,Baltimore City,001-003,7,46,State's Attorney,,Ivan Bates,DEM,Y,,95,,342,,161,,35,,120, 
3,Baltimore City,001-003,7,46,State's Attorney,,Other Write-Ins,,,Y,1,,3,,0,,0,,0, 
3,Baltimore City,001-003,7,46,Clerk Circuit Court,,Xavier A. Conaway,DEM,Y,,71,,304,,120,,35,,97, 
3,Baltimore City,001-003,7,46,Clerk Circuit Court,,Other Write-Ins,,,Y,4,,11,,6,,0,,3, 
3,Baltimore City,001-003,7,46,Register of Wills,,Belinda K. Conaway,DEM,Y,,74,,307,,121,,35,,94, 
3,Baltimore City,001-003,7,46,Register of Wills,,Other Write-Ins,,,Y,2,,5,,2,,0,,2, 
3,Baltimore City,001-003,7,46,Judge Orphans' Court,,"Charles ""Chuck"" Bernstein",DEM,Y,,68,,270,,112,,25,,77, 
3,Baltimore City,001-003,7,46,Judge Orphans' Court,,Lewyn Scott Garrett,DEM,Y,,68,,252,,111,,25,,76, 
3,Baltimore City,001-003,7,46,Judge Orphans' Court,,Michele E. Loewenthal,DEM,Y,,71,,268,,119,,30,,81, 
3,Baltimore City,001-003,7,46,Judge Orphans' Court,,Other Write-Ins,,,Y,3,,3,,1,,0,,0, 
3,Baltimore City,001-003,7,46,Sheriff,,Sam Cogen,DEM,Y,,86,,316,,133,,34,,93, 
3,Baltimore City,001-003,7,46,Sheriff,,Other Write-Ins,,,Y,0,,2,,2,,0,,1, 
3,Baltimore City,001-003,7,46,Board of Ed at Large,,April Christina Curley,NON,,,36,,113,,51,,9,,35, 
3,Baltimore City,001-003,7,46,Board of Ed at Large,,Ashley E. Esposito,NON,Y,,36,,185,,68,,17,,61, 
3,Baltimore City,001-003,7,46,Board of Ed at Large,,Salimah Jasani,NON,,,42,,120,,57,,8,,49, 
3,Baltimore City,001-003,7,46,Board of Ed at Large,,Kwame Kenyatta-Bey,NON,Y,,15,,84,,29,,5,,18, 
3,Baltimore City,001-003,7,46,Board of Ed at Large,,Other Write-Ins,,,Y,0,,2,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,Dan Cox and Gordana Schifanelli,REP,,,29,,117,,15,,7,,11, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,Wes Moore and Aruna Miller,DEM,Y,,121,,433,,201,,55,,98, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,David Lashar and Christiana Logansmith,LIB,,,1,,16,,3,,0,,1, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,Nancy Wallace and Patrick Elder,GRN,,,2,,5,,1,,0,,2, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,David Harding and Cathy White,WCP,,,1,,3,,0,,1,,0, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,Kyle Sefcik and Katie Lee,UNA,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Governor / Lt. Governor,,Other Write-Ins,,,Y,0,,3,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Comptroller,,Barry Glassman,REP,,,42,,178,,30,,8,,18, 
3,Baltimore City,001-004,7,46,Comptroller,,Brooke Elizabeth Lierman,DEM,Y,,113,,390,,193,,58,,93, 
3,Baltimore City,001-004,7,46,Comptroller,,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-004,7,46,Attorney General,,Michael Anthony Peroutka,REP,,,37,,150,,21,,7,,13, 
3,Baltimore City,001-004,7,46,Attorney General,,Anthony G. Brown,DEM,Y,,116,,414,,202,,59,,99, 
3,Baltimore City,001-004,7,46,Attorney General,,Other Write-Ins,,,Y,0,,0,,0,,0,,0, 
3,Baltimore City,001-004,7,46,U.S. Senator,,Chris Chaffee,REP,,,36,,140,,22,,7,,10, 
3,Baltimore City,001-004,7,46,U.S. Senator,,Chris Van Hollen,DEM,Y,,118,,426,,200,,59,,101, 
