WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"April 5, 2025",HOWARD,96,0,0,0
"April 5, 2025",KENT,5,0,0,0
"April 5, 2025",MONTGOMERY,286,0,0,0
"April 5, 2025",NON-MARYLAND,227,0,0,0
"April 5, 2025",PRINCE GEORGES,317,0,0,0
"April 5, 2025",QUEEN ANNES,16,0,0,0
"April 5, 2025",SOMERSET,12,0,0,0
"April 5, 2025",ST MARYS,19,0,0,0
"April 5, 2025",TALBOT,10,0,0,0
"April 5, 2025",Unknown,21,0,0,0
"April 5, 2025",WASHINGTON,60,0,0,0
"April 5, 2025",WICOMICO,26,0,0,0
"April 5, 2025",WORCESTER,10,0,0,0
