WeekEnding,County,RegularUI,PuaNew,PuaReclassified,PeucClaims
"October 19, 2024",MONTGOMERY,220,0,0,0
"October 19, 2024",NON-MARYLAND,179,0,0,0
"October 19, 2024",PRINCE GEORGES,238,0,0,0
"October 19, 2024",QUEEN ANNES,16,0,0,0
"October 19, 2024",SOMERSET,7,0,0,0
"October 19, 2024",ST MARYS,8,0,0,0
"October 19, 2024",TALBOT,12,0,0,0
"October 19, 2024",Unknown,15,0,0,0
"October 19, 2024",WASHINGTON,54,0,0,0
"October 19, 2024",WICOMICO,42,0,0,0
"October 19, 2024",WORCESTER,62,0,0,0
"October 26, 2024",ALLEGANY,27,0,0,0
"October 26, 2024",ANNE ARUNDEL,151,0,0,0
"October 26, 2024",BALTIMORE,320,0,0,0
"October 26, 2024",BALTIMORE CITY,299,0,0,0
"October 26, 2024",CALVERT,18,0,0,0
"October 26, 2024",CAROLINE,14,0,0,0
"October 26, 2024",CARROLL,33,0,0,0
"October 26, 2024",CECIL,22,0,0,0
"October 26, 2024",CHARLES,52,0,0,0
"October 26, 2024",DORCHESTER,12,0,0,0
"October 26, 2024",FREDERICK,69,0,0,0
"October 26, 2024",GARRETT,8,0,0,0
"October 26, 2024",HARFORD,77,0,0,0
"October 26, 2024",HOWARD,76,0,0,0
"October 26, 2024",KENT,7,0,0,0
"October 26, 2024",MONTGOMERY,204,0,0,0
"October 26, 2024",NON-MARYLAND,173,0,0,0
"October 26, 2024",PRINCE GEORGES,261,0,0,0
"October 26, 2024",QUEEN ANNES,12,0,0,0
"October 26, 2024",SOMERSET,8,0,0,0
"October 26, 2024",ST MARYS,11,0,0,0
"October 26, 2024",TALBOT,13,0,0,0
"October 26, 2024",Unknown,14,0,0,0
"October 26, 2024",WASHINGTON,47,0,0,0
"October 26, 2024",WICOMICO,48,0,0,0
"October 26, 2024",WORCESTER,59,0,0,0
"November 02, 2024",ALLEGANY,19,0,0,0
"November 02, 2024",ANNE ARUNDEL,159,0,0,0
"November 02, 2024",BALTIMORE,319,0,0,0
"November 02, 2024",BALTIMORE CITY,292,0,0,0
"November 02, 2024",CALVERT,20,0,0,0
"November 02, 2024",CAROLINE,10,0,0,0
"November 02, 2024",CARROLL,33,0,0,0
"November 02, 2024",CECIL,20,0,0,0
"November 02, 2024",CHARLES,47,0,0,0
"November 02, 2024",DORCHESTER,14,0,0,0
"November 02, 2024",FREDERICK,75,0,0,0
"November 02, 2024",GARRETT,3,0,0,0
"November 02, 2024",HARFORD,80,0,0,0
"November 02, 2024",HOWARD,78,0,0,0
"November 02, 2024",KENT,10,0,0,0
"November 02, 2024",MONTGOMERY,194,0,0,0
"November 02, 2024",NON-MARYLAND,187,0,0,0
"November 02, 2024",PRINCE GEORGES,247,0,0,0
"November 02, 2024",QUEEN ANNES,13,0,0,0
"November 02, 2024",SOMERSET,17,0,0,0
"November 02, 2024",ST MARYS,17,0,0,0
"November 02, 2024",TALBOT,13,0,0,0
"November 02, 2024",Unknown,14,0,0,0
"November 02, 2024",WASHINGTON,44,0,0,0
"November 02, 2024",WICOMICO,99,0,0,0
"November 02, 2024",WORCESTER,112,0,0,0
"November 09, 2024",ALLEGANY,26,0,0,0
"November 09, 2024",ANNE ARUNDEL,152,0,0,0
"November 09, 2024",BALTIMORE,318,0,0,0
"November 09, 2024",BALTIMORE CITY,258,0,0,0
"November 09, 2024",CALVERT,16,0,0,0
"November 09, 2024",CAROLINE,12,0,0,0
"November 09, 2024",CARROLL,39,0,0,0
"November 09, 2024",CECIL,29,0,0,0
"November 09, 2024",CHARLES,59,0,0,0
"November 09, 2024",DORCHESTER,15,0,0,0
"November 09, 2024",FREDERICK,68,0,0,0
"November 09, 2024",GARRETT,11,0,0,0
"November 09, 2024",HARFORD,78,0,0,0
"November 09, 2024",HOWARD,74,0,0,0
"November 09, 2024",KENT,6,0,0,0
"November 09, 2024",MONTGOMERY,209,0,0,0
"November 09, 2024",NON-MARYLAND,192,0,0,0
"November 09, 2024",PRINCE GEORGES,230,0,0,0
"November 09, 2024",QUEEN ANNES,12,0,0,0
"November 09, 2024",SOMERSET,9,0,0,0
"November 09, 2024",ST MARYS,16,0,0,0
"November 09, 2024",TALBOT,18,0,0,0
"November 09, 2024",Unknown,28,0,0,0
"November 09, 2024",WASHINGTON,50,0,0,0
"November 09, 2024",WICOMICO,57,0,0,0
"November 09, 2024",WORCESTER,109,0,0,0
"November 16, 2024",ALLEGANY,27,0,0,0
"November 16, 2024",ANNE ARUNDEL,164,0,0,0
"November 16, 2024",BALTIMORE,312,0,0,0
"November 16, 2024",BALTIMORE CITY,294,0,0,0
"November 16, 2024",CALVERT,17,0,0,0
"November 16, 2024",CAROLINE,6,0,0,0
"November 16, 2024",CARROLL,42,0,0,0
"November 16, 2024",CECIL,28,0,0,0
"November 16, 2024",CHARLES,45,0,0,0
"November 16, 2024",DORCHESTER,21,0,0,0
"November 16, 2024",FREDERICK,68,0,0,0
"November 16, 2024",GARRETT,9,0,0,0
"November 16, 2024",HARFORD,78,0,0,0
"November 16, 2024",HOWARD,58,0,0,0
"November 16, 2024",KENT,5,0,0,0
"November 16, 2024",MONTGOMERY,222,0,0,0
"November 16, 2024",NON-MARYLAND,160,0,0,0
"November 16, 2024",PRINCE GEORGES,239,0,0,0
"November 16, 2024",QUEEN ANNES,14,0,0,0
"November 16, 2024",SOMERSET,8,0,0,0
"November 16, 2024",ST MARYS,11,0,0,0
"November 16, 2024",TALBOT,13,0,0,0
"November 16, 2024",Unknown,21,0,0,0
"November 16, 2024",WASHINGTON,50,0,0,0
"November 16, 2024",WICOMICO,65,0,0,0
"November 16, 2024",WORCESTER,97,0,0,0
"November 23, 2024",ALLEGANY,32,0,0,0
"November 23, 2024",ANNE ARUNDEL,161,0,0,0
"November 23, 2024",BALTIMORE,365,0,0,0
"November 23, 2024",BALTIMORE CITY,265,0,0,0
"November 23, 2024",CALVERT,27,0,0,0
"November 23, 2024",CAROLINE,9,0,0,0
"November 23, 2024",CARROLL,43,0,0,0
"November 23, 2024",CECIL,20,0,0,0
"November 23, 2024",CHARLES,74,0,0,0
"November 23, 2024",DORCHESTER,13,0,0,0
"November 23, 2024",FREDERICK,71,0,0,0
"November 23, 2024",GARRETT,8,0,0,0
"November 23, 2024",HARFORD,75,0,0,0
"November 23, 2024",HOWARD,70,0,0,0
"November 23, 2024",KENT,5,0,0,0
"November 23, 2024",MONTGOMERY,213,0,0,0
"November 23, 2024",NON-MARYLAND,220,0,0,0
"November 23, 2024",PRINCE GEORGES,276,0,0,0
"November 23, 2024",QUEEN ANNES,17,0,0,0
"November 23, 2024",SOMERSET,8,0,0,0
"November 23, 2024",ST MARYS,15,0,0,0
"November 23, 2024",TALBOT,17,0,0,0
"November 23, 2024",Unknown,23,0,0,0
"November 23, 2024",WASHINGTON,56,0,0,0
"November 23, 2024",WICOMICO,82,0,0,0
"November 23, 2024",WORCESTER,90,0,0,0
"November 30, 2024",ALLEGANY,26,0,0,0
"November 30, 2024",ANNE ARUNDEL,361,0,0,0
"November 30, 2024",BALTIMORE,279,0,0,0
"November 30, 2024",BALTIMORE CITY,239,0,0,0
"November 30, 2024",CALVERT,28,0,0,0
"November 30, 2024",CAROLINE,11,0,0,0
"November 30, 2024",CARROLL,34,0,0,0
"November 30, 2024",CECIL,56,0,0,0
"November 30, 2024",CHARLES,55,0,0,0
"November 30, 2024",DORCHESTER,14,0,0,0
"November 30, 2024",FREDERICK,60,0,0,0
"November 30, 2024",GARRETT,15,0,0,0
"November 30, 2024",HARFORD,62,0,0,0
"November 30, 2024",HOWARD,60,0,0,0
"November 30, 2024",KENT,26,0,0,0
"November 30, 2024",MONTGOMERY,132,0,0,0
